Fthicket of,,This page is for brainstorming abilities. All you need here is a name for the abilitiy and a description of what its function is.,,This column is for developing the actual game text of an ability,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Ability Name,Ability Description,Rules Text,CP cost,Affinity req,W,U,B,R,G,tot,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,,NEW AFFINITY,New Aff: X,New Aff: Di,New Aff: Kyle,New Aff: Gabe
0,Aura,Drinker of Souls,Automatically absorb energy from dying / recently slain foes,"A dying creature within the aura rolls BOD vs. WIL to resist, failure or tie results in its death. This aura automatically succeeds against a target that has been dead for up to 5 rounds, on 6+ rounds no effect. 
When a creature's soul is consumed heal 1 stamina, if at full stamina instead heal 1 health, if at full health and stamina instead gain 1 temporary HP. 

A creature's soul can only be so consumed once. If multiple instances of this ability would trigger on a soul, the owner who most recently acted in initiative gets priority, then second most recent, etc.",10,"7B,(9)
",0,0,6,0,0,6,,10,,,,,,,,,,,"7B,2","R3
exclusive","R3
exclusive
B",,
0,Aura,Enduring Presence,"Damage dampening, discharge to mitigate one hit","Allies within the aura gain 2 damage dampening. 
Discharge: one subject of the aura gets 2+(quantity of subjects) damage dampening against one attack. ",30,"12W,(15)",6,,,,,6,,30,,,,,,,,,,,"12GW,3",R5 exclusive?,"R6
exclusive
GW",,
0,Aura,Fear Aura,"This fear aura triggers on any aggressive action. 
","You may attempt a free intimidation check against all enemies within the aura once per round as part of an attack. The effects of the intimidation check apply after the attack is resolved. As normal, you can only apply one fear effect to a given target once per turn.
",15,"4R,5(W|B|R),(12)",0,0,6,6,0,6,,15,,,,,,,,,,,"7BR,2",R4 exclusive,"R3
limited
BRW,BR,RW",,
0,Aura,Feedback Aura,Nearby enemies subject to damage when you are wounded,Enemies the aura (CHA/2 *5 ft instead of standard CHA*5) resist (damage you took) as psychic damage with mental soak.,10,"4(W|B),4(W|U|B),(15)",0,4,4,0,0,8,,10,,,,,,,,,,,"7UB,8",R5 limited/exclusive?,"R5
limited
B,W,UB",,
0,Aura,For the Greater Good,Willing allies may take damage to heal the aura user,"During your turn as a nonaction, target willing ally within the aura loses 1 HP or 2 Stam and you gain 1HP or 2 Stam.",10,"4B,(9)",,,6,,,6,,10,,,,,,,,,,,"4B,5",R3 limited,"R3
limited
B",,
0,Aura,Generous Enchancements,Share the effects of one ongoing buff you are subject to with all allies in range of this aura.,"When you trigger a buff you may designate it as being Generously Enhanced. This ability becomes the shared aura effect of Generous Enhancements and does not count for you as a body buff if it was one. As a Extra action you may designate a buff currently on you to become Generously Enhanced, it becomes the aura effect and any current aura effect reverts to its normal buff state. ",80,"12W,12G,(30)",,,,,,,,80,,,,,,,,,,,,,,,
0,Aura,Glare of the noonday sun,nonlethal damage vs. everything at start of your turn,All creatures within (CHA/2 + RANK) ft (including you) must soak (BOD + 2* RANK) fire damage at the start of your turn. This damage is always nonlethal.,30/40/50,"14(W|R|G),(18)
16(W|R|G),(21)
19(W|R|G),(24)
",12,,,12,12,12,,30,70,120,,,,,,,,,di proposing WRG excl,R6/R7/R8 exclusive,RG,,
0,Aura,Magic Circle of Heart,"All allies in the aura gain rank X to an element of your choice, chosen on activation.","All allies in the aura gain 2*RANK resist to ELEMENT of your choice, chosen on activation.","20,30,40","3W,(9) per
",,,,,,,,20,50,90,,,,,,,,,,,,,
0,Aura,Mana Leech,"Name a color. All drain using abilities except for the named color are subject to 1 higher drain. Whenever such an ability is used, roll 1 die and heal HITS drain. ","Name a color. All abilities with drain used within the aura except for the named color may take +RANK drain. If they don't, roll 2 dice and heal HITS drain and deal HITS drain to the ability user.",20,"7U,7B,(18)",10,,10,,,10,,20,,,,,,,,,,,"14UB,4",R6 Exclusive,"R6
exclusive
UB",,
0,Aura,Menacing Presence,Penalty to enemies trying to attack allies other than you,"Enemies within (CHA*5 feet) take (CHA) penalty to their attack pools if targeting anything but a user of Menacing Presence. If enemies are not aware of you, this aura does not affect them.",10,"4W,5(W|B|G),(12)",6,0,6,0,0,6,,10,,,,,,,,,,,"7WB,2",R4 excl,"R3
exclusive
W,WG",,
0,Aura,Natural Shielding,"Aura, allies gain resistances","All allies within the aura gain +RANK armor, and 2*RANK+2 dice on rolls to resist effects originating from other recipients of this aura.",40/50/60,"4G,(10 per)",,,,,4,10,,40,90,150,,,,,,,,,,,,,
